Year(s),Conflict,"Location (modern)",Notes,Citation,start,end
55–54 B.C.,Caesar's invasions of Britain,England,,[1],-55,-44
49–96 [A.D.],Roman conquest of Britain,Great Britain,,[2],49,96
208–10,Severan invasion of Caledonia,Scotland,Part of the Roman occupation of Britain,[3],208,210
286–96,Carausian Revolt,England,Part of the Roman occupation of Britain,[4],286,296
367–68,Great Conspiracy,Great Britain,Part of the Roman occupation of Britain,[5],367,368
410–927,Anglo-Saxon invasions and creation of England,Great Britain,,[6],410,927
865–78,Invasion of the Great Heathen Army,England,Part of the Norse invasions of Britain,[7],865,878
1015–16,Cnut's invasion of England,England,Part of the Norse invasions of Britain,[8],1015,1016
1066–71,Norman conquest of England,England,,[9],1066,1071
1067–1194,Norman invasion of Wales,Wales,,[10],1067,1194
1075,Revolt of the Earls,England,Civil war,[11],1075,
1088,Rebellion of 1088,England,Civil war,[12],1088,
1135–54,The Anarchy,England,Civil war,[13]1135,1154
1173–74,Revolt of 1173–74,England,Civil war,[14],1173,1174
1211,Welsh uprising of 1211,Wales,Part of the Anglo-Welsh Wars,[15],1211,
1215–17,First Barons' War,England,Civil war,[16],1215,1217
1262–66,Scottish–Norwegian War,Scotland,,,1262,1266
1264–67,Second Barons' War,England,Civil war,[17],1264,1267
1277; 1282–83,Edwardian conquest of Wales,Wales,Part of the Anglo-Welsh Wars,[18],1277,
1277; 1282–83,Edwardian conquest of Wales,Wales,Part of the Anglo-Welsh Wars,[18],1282,1283
1296–1328,First War of Scottish Independence,Scotland; England; Ireland,Part of the Anglo-Scottish Wars,[19],1296,1328
1321–22,Despenser War,Wales; England,Civil war,[20],1321,1322
1332–57,Second War of Scottish Independence,Scotland,Part of the Anglo-Scottish Wars,[21],1332,1357
1381,Peasants' Revolt,England,,[22],1381,
1400–15,Glyndŵr Rising,Wales,Part of the Anglo-Welsh Wars,[23],1400,1415
1455–85,Wars of the Roses,England; Wales,Civil war,[24],1455,1485
1497,Cornish Rebellion of 1497,Cornwall,,[25],1497,
1543–50,War of the Rough Wooing,Scotland; England,Part of the Anglo-Scottish Wars,[26],1543,1550
1549,Prayer Book Rebellion,England,,[27],1549,
1549,Kett's Rebellion,England,,[28],1549,
1569–70,Rising of the North,England,,[29],1569,1570
1639–53,Wars of the Three KingdomsBishops' Wars Scottish Civil War English Civil War,Great Britain,Civil war,[30],1639,1653
1685,Monmouth Rebellion,England,,[31],1685,
1689–92,First Jacobite Rising,Scotland,,[citation needed],1689,1692
1715,Jacobite rising of 1715,Scotland; England,,[32],1715,
1745–46,Jacobite rising of 1745,Scotland; England,,[33],1745,1746